"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\odinh\pitch-it\Frontend\NavScreens\AuthNavigator\index.js", "JavaScript", 84, 0, 58, 142
"c:\Users\odinh\pitch-it\Frontend\NavScreens\BottomTabNavigator\index.js", "JavaScript", 53, 0, 40, 93
"c:\Users\odinh\pitch-it\Frontend\NavScreens\Home\index.js", "JavaScript", 34, 0, 29, 63
"c:\Users\odinh\pitch-it\Frontend\NavScreens\LogInSignInNavigator\index.js", "JavaScript", 24, 0, 24, 48
"c:\Users\odinh\pitch-it\Frontend\NavScreens\OuterNavigator\index.js", "JavaScript", 61, 0, 41, 102
"Total", "-", 256, 0, 192, 448
